"Nom","Fichiers","Sous-dossiers","Taille Logique","Taille Physique","Attributes","Dernier changement","WinDirStat Attributes"
"C:\Users\1\Documents\GitHub\lucid-web-craftsman",23293,2426,404834663,439127048,0x00000010,2025-05-22T22:42:36Z,0x0304
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\postcss.config.js",0,0,86,88,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\.env",0,0,129,136,0x00000020,2025-05-22T21:44:43Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\vite-env.d.ts",0,0,247,248,0x00000020,2025-05-22T21:47:44Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\.gitignore",0,0,294,296,0x00000020,2025-05-22T22:39:58Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\tsconfig.json",0,0,400,400,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\components.json",0,0,432,432,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\tsconfig.node.json",0,0,503,504,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\.github",1,1,554,560,0x00000010,2025-05-22T22:14:34Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\.github\workflows",1,0,554,560,0x00000010,2025-05-22T22:14:34Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\.github\workflows\deploy.yml",0,0,554,560,0x00000020,2025-05-22T22:14:34Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\script.sh",0,0,665,672,0x00000020,2025-05-22T22:42:36Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\vite.config.ts",0,0,700,4096,0x00000020,2025-05-22T22:13:00Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\tsconfig.app.json",0,0,682,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\tailwind.config.ts",0,0,3845,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\server.js",0,0,1328,4096,0x00000020,2025-05-22T12:26:52Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\README.md",0,0,2222,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\package.json",0,0,3181,4096,0x00000020,2025-05-22T12:26:52Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\index.html",0,0,1129,4096,0x00000020,2025-05-22T22:26:15Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\eslint.config.js",0,0,818,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\db.json",0,0,7509,8192,0x00000020,2025-05-22T12:26:52Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\bun.lockb",0,0,210816,212992,0x00000020,2025-05-20T01:31:34Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\package-lock.json",0,0,330425,331776,0x00000020,2025-05-22T19:29:17Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src",96,14,334014,524296,0x00000010,2025-05-22T22:05:15Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\vite-env.d.ts",0,0,39,40,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\main.tsx",0,0,163,168,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\services",1,0,215,216,0x00000010,2025-05-22T21:42:25Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\services\api.ts",0,0,215,216,0x00000020,2025-05-22T21:42:25Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\config",1,0,289,296,0x00000010,2025-05-22T21:43:16Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\config\constants.ts",0,0,289,296,0x00000020,2025-05-22T21:43:16Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\utils",1,0,343,344,0x00000010,2025-05-22T20:15:12Z,0x0104
